title,price,availability,page,title_length
A Light in the Attic,51.77,In stock,1,20
Tipping the Velvet,53.74,In stock,1,18
Soumission,50.1,In stock,1,10
Sharp Objects,47.82,In stock,1,13
Sapiens: A Brief History of Humankind,54.23,In stock,1,37
The Requiem Red,22.65,In stock,1,15
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,1,50
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,1,87
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,1,94
The Black Maria,52.15,In stock,1,15
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,1,46
Shakespeare's Sonnets,20.66,In stock,1,21
Set Me Free,17.46,In stock,1,11
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,1,55
Rip it Up and Start Again,35.02,In stock,1,25
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,1,82
Olio,23.88,In stock,1,4
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1,53
Libertarianism for Beginners,51.33,In stock,1,28
It's Only the Himalayas,45.17,In stock,1,23
In Her Wake,12.84,In stock,2,11
How Music Works,37.32,In stock,2,15
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,2,175
Chase Me (Paris Nights #2),25.27,In stock,2,26
Black Dust,34.53,In stock,2,10
Birdsong: A Story in Pictures,54.64,In stock,2,29
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,2,107
Aladdin and His Wonderful Lamp,53.13,In stock,2,30
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,In stock,2,55
Wall and Piece,44.18,In stock,2,14
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,2,58
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,2,73
The Elephant Tree,23.82,In stock,2,17
The Bear and the Piano,36.89,In stock,2,22
Sophie's World,15.94,In stock,2,14
Penny Maybe,33.29,In stock,2,11
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2,46
"In a Dark, Dark Wood",19.63,In stock,2,20
Behind Closed Doors,52.22,In stock,2,19
You can't bury them all: Poems,33.63,In stock,2,30
Slow States of Collapse: Poems,57.31,In stock,3,30
Reasons to Stay Alive,26.41,In stock,3,21
Private Paris (Private #10),47.61,In stock,3,27
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,3,66
Without Borders (Wanderlove #1),45.07,In stock,3,31
When We Collided,31.77,In stock,3,16
"We Love You, Charlie Freeman",50.27,In stock,3,28
Untitled Collection: Sabbath Poems 2014,14.27,In stock,3,39
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,3,105
Unicorn Tracks,18.78,In stock,3,14
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,3,102
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,3,55
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,3,75
This One Summer,19.49,In stock,3,15
Thirst,17.27,In stock,3,6
The Torch Is Passed: A Harding Family Story,19.09,In stock,3,43
The Secret of Dreadwillow Carse,56.13,In stock,3,31
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In stock,3,127
The Past Never Ends,56.5,In stock,3,19
The Natural History of Us (The Fine Art of Pretending #2),45.22,In stock,3,57
The Nameless City (The Nameless City #1),38.16,In stock,4,40
The Murder That Never Was (Forensic Instincts #5),54.11,In stock,4,49
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,In stock,4,57
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,In stock,4,150
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock,4,86
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,In stock,4,82
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,In stock,4,57
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,In stock,4,62
The Death of Humanity: and the Case for Life,58.11,In stock,4,44
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,In stock,4,91
The Art Forger,40.76,In stock,4,14
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock,4,75
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,4,67
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,In stock,4,78
Soul Reader,39.58,In stock,4,11
Security,39.25,In stock,4,8
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,4,45
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,4,45
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,4,65
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,4,67
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,5,81
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,5,48
"Pop Gun War, Volume 1: Gift",18.97,In stock,5,27
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,5,163
Patience,10.16,In stock,5,8
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,5,54
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,5,70
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,5,55
On a Midnight Clear,14.07,In stock,5,19
Obsidian (Lux #1),14.86,In stock,5,17
My Paris Kitchen: Recipes and Stories,33.37,In stock,5,37
Masks and Shadows,56.4,In stock,5,17
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,5,83
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,5,61
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,5,62
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,5,55
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,5,56
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,In stock,5,69
Join,35.67,In stock,5,4
In the Country We Love: My Family Divided,22.0,In stock,5,41
